# Score: min -2781, max -80, med -1759
# Num steps: min 1000, max 1000, med 1000
seed,score,num_steps
5675,-1613,1000
5676,-1686,1000
5677,-2124,1000
5678,-2270,1000
5679,-591,1000
5680,-1394,1000
5681,-1394,1000
5682,-1467,1000
5683,-1540,1000
5684,-1832,1000
5685,-1978,1000
5686,-2562,1000
5687,-2708,1000
5688,-1321,1000
5689,-1905,1000
5690,-1832,1000
5691,-1321,1000
5692,-1613,1000
5693,-2416,1000
5694,-2051,1000
5695,-883,1000
5696,-2270,1000
5697,-1686,1000
5698,-1905,1000
5699,-1175,1000
5700,-518,1000
5701,-1102,1000
5702,-1613,1000
5703,-2051,1000
5704,-2051,1000
5705,-2051,1000
5706,-956,1000
5707,-2416,1000
5708,-1467,1000
5709,-2416,1000
5710,-1540,1000
5711,-2051,1000
5712,-1832,1000
5713,-1467,1000
5714,-1613,1000
5715,-1029,1000
5716,-2270,1000
5717,-1248,1000
5718,-591,1000
5719,-1759,1000
5720,-1832,1000
5721,-1759,1000
5722,-1540,1000
5723,-2489,1000
5724,-1832,1000
5725,-1248,1000
5726,-2124,1000
5727,-2781,1000
5728,-1175,1000
5729,-2416,1000
5730,-1613,1000
5731,-1905,1000
5732,-1686,1000
5733,-737,1000
5734,-956,1000
5735,-2343,1000
5736,-2124,1000
5737,-1686,1000
5738,-1175,1000
5739,-2197,1000
5740,-2343,1000
5741,-1759,1000
5742,-1467,1000
5743,-1759,1000
5744,-1759,1000
5745,-1248,1000
5746,-2708,1000
5747,-1686,1000
5748,-2416,1000
5749,-2416,1000
5750,-1613,1000
5751,-2781,1000
5752,-2562,1000
5753,-1029,1000
5754,-1905,1000
5755,-737,1000
5756,-2051,1000
5757,-810,1000
5758,-2343,1000
5759,-1686,1000
5760,-2489,1000
5761,-2562,1000
5762,-1467,1000
5763,-1832,1000
5764,-2124,1000
5765,-2562,1000
5766,-2124,1000
5767,-80,1000
5768,-2781,1000
5769,-1686,1000
5770,-2635,1000
5771,-2197,1000
5772,-1029,1000
5773,-2781,1000
5774,-1175,1000
